price,suburb,property_size,km_from_cbd
1282000,Cecil Hills,781,33.92
1195000,Toongabbie,560,25.67
955000,Blaxland,702,56.39
850500,Milperra,556,22.57
760000,Glenfield,313,31.57
1200000,South Turramurra,929,15.73
900000,Berala,491,16.36
895000,Toongabbie,557,25.67
753000,Toongabbie,556,25.67
675000,Bateau Bay,569,58.53
550000,Bateau Bay,550,58.53
14500000,Darling Point,1157,2.51
2975000,Stanmore,668,5.2
1935000,Clareville,739,27.02
1650000,Narraweena,727,14.02
1485000,Kensington,126,5.45
660000,Bateau Bay,650,58.53
621000,Bateau Bay,556,58.53
530000,Hamlyn Terrace,465,72.13
440000,Charmhaven,556,75.6
3175000,Neutral Bay,354,3.44
640000,Bateau Bay,683,58.53
2525000,Engadine,1935,27.77
2225000,Fairlight,219,9.88
2200000,Fairlight,272,9.88
2175000,Haberfield,633,6.75
1305000,Stanmore,234,5.2
1100000,Engadine,600,27.77
795000,Toongabbie,570,25.67
490000,Glenfield,271,31.57
4770000,Wollstonecraft,1248,3.78
3150000,Lane Cove,695,6.67
2620000,Melrose Park,882,13.84
2000000,Lane Cove,560,6.67
1885000,Lane Cove,854,6.67
1685000,Freshwater,510,12.07
1620000,Manly Vale,746,10.57
1600000,Arncliffe,697,10.09
1170000,Marsfield,194,13.73
1156000,Tennyson Point,166,9.37
1121000,St Peters,215,6.42
1041000,Toongabbie,383,25.67
845000,Marsfield,121,13.73
822000,Glen Alpine,800,47.41
661000,Lane Cove,2042,6.67
4500000,Clareville,1322,27.02
1770000,St Ives,930,15.99
1750000,Dolans Bay,594,23.32
1630000,Stanmore,223,5.2
860000,Freshwater,85,12.07
855000,Toongabbie,648,25.67
851000,Glenfield,660,31.57
770000,Blaxland,695,56.39
620000,Niagara Park,645,55.43
830000,Blackwall,516,41.58
304000,Wyongah,765,70.78
7400000,Lavender Bay,720,2.37
880000,Macmasters Beach,834,44.72
675000,North Avoca,714,49.98
576000,Chittaway Bay,676,63.59
1745000,East Lindfield,866,11.02
1650000,Beecroft,954,18.35
1080000,Croydon,218,8.77
850000,The Entrance North,556,65.14
751000,Rosebery,123,5.94
427000,Chittaway Bay,285,63.59
419000,Budgewoi,556,76.65
335000,Budgewoi,455,76.65
1750000,Birchgrove,211,2.94
740000,Fairfield Heights,505,24.84
700000,Canley Vale,577,24.09
540000,Bradbury,670,43.6
1510000,Carlton,481,14.29
1410000,Peakhurst,695,17.67
1255000,Sydney Olympic Park,152,13.57
800000,Penshurst,550,16.01
833000,St Clair,869,39.76
720000,Riverstone,556,39.07
2150000,Collaroy Plateau,942,16.58
1238000,Collaroy Plateau,417,16.58
560000,Long Jetty,550,61.67
2000000,Pendle Hill,430,24.52
1650000,North Sydney,206,3.16
1030000,Lapstone,1457,54.12
967000,Berowra,682,26.88
615000,Colebee,593,36.09
527000,Colebee,546,36.09
3650000,Balmain,463,2.81
2200000,St Ives,955,15.99
1580000,Bexley,769,12.84
932000,Toongabbie,607,25.67
900000,Engadine,822,27.77
885000,Berowra,446,26.88
840000,St Peters,103,6.42
706000,Glenfield,606,31.57
560000,Engadine,110,27.77
370000,San Remo,575,77.69
640000,Ropes Crossing,321,42.77
2366000,St Ives,923,15.99
1218000,Engadine,645,27.77
1050000,Engadine,657,27.77
1030000,Narwee,426,15.94
973000,Engadine,727,27.77
875000,Toongabbie,388,25.67
824000,Kings Park,828,31.21
715000,Glenfield,319,31.57
550000,Colebee,480,36.09
5750000,Bellevue Hill,956,4.59
3100000,St Ives,1695,15.99
931500,East Hills,360,23.11
830000,Toongabbie,563,25.67
820000,Blaxland,1566,56.39
560000,Niagara Park,575,55.43
2600000,Lane Cove,763,6.67
1638000,Narraweena,796,14.02
940000,Colebee,600,36.09
870000,Lane Cove,2093,6.67
830000,Kensington,67,5.45
803000,Claremont Meadows,553,43.49
756000,Blaxland,2561,56.39
585000,Westmead,141,21.55
3880000,Turramurra,1140,16.36
945000,Engadine,581,27.77
850000,Glenfield,550,31.57
825000,Toongabbie,355,25.67
790000,Blaxland,1208,56.39
492000,Lake Munmorah,525,81.81
1800000,Narraweena,562,14.02
1465000,Narraweena,556,14.02
1400000,Engadine,556,27.77
1085000,Engadine,563,27.77
520000,Niagara Park,638,55.43
2820000,Breakfast Point,450,9.49
1320000,Caringbah South,433,22.43
1290000,Marayong,1229,32.22
1050000,Sandy Point,556,23.49
760000,Bexley,127,12.84
420000,Gosford,148,50.42
